,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100,2101,2102,2103,2104,2105,2106,2107,2108,2109,2110,2111,2112,2113,2114,2115,2116,2117,2118,2119,2120,2121,2122,2123,2124,2125,2126,2127,2128,2129,2130,2131,2132,2133,2134,2135,2136,2137,2138,2139,2140,2141,2142,2143,2144,2145,2146,2147,2148,2149,2150
SHEFC(USA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SHEF(a01,USA)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SHEF(a02,USA)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SHEFC(ROW),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SHEF(a01,ROW)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SHEF(a02,ROW)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ROGY(USA),0.0,0.21836466699999194,0.19672839700000685,0.17509212800000118,0.16364364299999645,0.15219515800000827,0.1407466729999891,0.12929818800000703,0.11784970299999742,0.16187309400000904,0.20589648499999846,0.24991987499999868,0.29394326600000187,0.3379666569999884,0.3651159020000101,0.39226514599999796,0.41941439099998634,0.4465636350000137,0.47371288000000433,0.47370506599998574,0.47369725100000437,0.473689437000008,0.4736816219999991,0.4736738080000027,0.4497907440000004,0.4259076789999927,0.40202461500000286,0.37814155000000405,0.35425848599998666,0.3229356839999973,0.29161288199999724,0.26029008100001505,0.22896727899999192,0.19764447700000254,0.17537755599999016,0.153110635000008,0.13084371399998318,0.10857679300001521,0.08630987200000106,0.0990120420000018,0.11171421200000253,0.12441638100001384,0.13711855099999326,0.14982072100000465,0.15391477499999695,0.1580088289999999,0.16210288200000456,0.16619693599999685,0.17029098999999803,0.16669065200000155,0.1630903140000033,0.15948997500000317,0.15588963699999603,0.15228929900000843,0.16402257299998801,0.17575584699999247,0.1874891220000059,0.19922239599998726,0.21095567000001303,0.19352300399999578,0.17609033800000162,0.15865767300000577,0.14122500700000096,0.12379234099999614,0.10867141499999455,0.09355048899999296,0.07842956199999307,0.06330863599999326,0.04818770999999167,0.043164612000023084,0.03814151299999047,0.033118415000011225,0.02809531599998749,0.023072217999995814,0.020764996000011138,0.01845777400000337,0.016150552999993906,0.013843331000007453,0.011536108999997907,0.009228886999991914,0.006921665000003685,0.004614443999994222,0.0023072220000095456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ROGY(ROW),0.0,0.21836466699999194,0.19672839700000685,0.17509212800000118,0.16364364299999645,0.15219515800000827,0.1407466729999891,0.12929818800000703,0.11784970299999742,0.16187309400000904,0.20589648499999846,0.24991987499999868,0.29394326600000187,0.3379666569999884,0.3651159020000101,0.39226514599999796,0.41941439099998634,0.4465636350000137,0.47371288000000433,0.47370506599998574,0.47369725100000437,0.473689437000008,0.4736816219999991,0.4736738080000027,0.4497907440000004,0.4259076789999927,0.40202461500000286,0.37814155000000405,0.35425848599998666,0.3229356839999973,0.29161288199999724,0.26029008100001505,0.22896727899999192,0.19764447700000254,0.17537755599999016,0.153110635000008,0.13084371399998318,0.10857679300001521,0.08630987200000106,0.0990120420000018,0.11171421200000253,0.12441638100001384,0.13711855099999326,0.14982072100000465,0.15391477499999695,0.1580088289999999,0.16210288200000456,0.16619693599999685,0.17029098999999803,0.16669065200000155,0.1630903140000033,0.15948997500000317,0.15588963699999603,0.15228929900000843,0.16402257299998801,0.17575584699999247,0.1874891220000059,0.19922239599998726,0.21095567000001303,0.19352300399999578,0.17609033800000162,0.15865767300000577,0.14122500700000096,0.12379234099999614,0.10867141499999455,0.09355048899999296,0.07842956199999307,0.06330863599999326,0.04818770999999167,0.043164612000023084,0.03814151299999047,0.033118415000011225,0.02809531599998749,0.023072217999995814,0.020764996000011138,0.01845777400000337,0.016150552999993906,0.013843331000007453,0.011536108999997907,0.009228886999991914,0.006921665000003685,0.004614443999994222,0.0023072220000095456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"SHL(USA,a01)",0.0,0.21836466699999194,0.4150930639999988,0.590185192,0.7538288349999964,0.9060239930000047,1.0467706659999938,1.1760688540000008,1.2939185569999982,1.4557916510000073,1.6616881360000058,1.9116080110000044,2.2055512770000063,2.5435179339999947,2.908633836000005,3.3008989820000028,3.720313372999989,4.166877008000003,4.640589888000007,5.114294953999993,5.587992204999997,6.061681642000005,6.535363264000004,7.009037072000007,7.458827816000007,7.884735495,8.286760110000003,8.664901660000007,9.019160145999994,9.342095829999991,9.633708711999988,9.893998793000003,10.122966071999995,10.320610548999998,10.495988104999988,10.649098739999996,10.779942453999979,10.888519246999994,10.974829118999995,11.073841160999997,11.185555373,11.309971754000014,11.447090305000007,11.596911026000011,11.750825801000008,11.908834630000008,12.070937512000013,12.23713444800001,12.407425438000008,12.57411609000001,12.737206404000013,12.896696379000016,13.052586016000012,13.20487531500002,13.368897888000008,13.544653735,13.732142857000007,13.931365252999994,14.142320923000007,14.335843927000003,14.511934265000004,14.67059193800001,14.811816945000011,14.935609286000007,15.044280701000002,15.137831189999995,15.216260751999988,15.279569387999981,15.327757097999973,15.370921709999996,15.409063222999986,15.442181637999997,15.470276953999985,15.49334917199998,15.514114167999992,15.532571941999995,15.54872249499999,15.562565825999997,15.574101934999995,15.583330821999986,15.59025248699999,15.594866930999984,15.597174152999994,15.597174152999994,15.597174152999994,15.597174152999994,15.597174152999994,15.597174152999994,15.597174152999994,15.597174152999994,15.597174152999994,15.597174152999994,15.597174152999994,15.597174152999994,15.597174152999994,15.597174152999994,15.597174152999994,15.597174152999994,15.597174152999994,15.597174152999994,15.597174152999994,15.597174152999994,15.597174152999994,15.597174152999994,15.597174152999994,15.597174152999994,15.597174152999994,15.597174152999994,15.597174152999994,15.597174152999994,15.597174152999994,15.597174152999994,15.597174152999994,15.597174152999994,15.597174152999994,15.597174152999994,15.597174152999994,15.597174152999994,15.597174152999994,15.597174152999994,15.597174152999994,15.597174152999994,15.597174152999994,15.597174152999994,15.597174152999994,15.597174152999994,15.597174152999994,15.597174152999994,15.597174152999994,15.597174152999994,15.597174152999994,15.597174152999994,15.597174152999994
"SHL(USA,a02)",0.0,0.21836466699999194,0.4150930639999988,0.590185192,0.7538288349999964,0.9060239930000047,1.0467706659999938,1.1760688540000008,1.2939185569999982,1.4557916510000073,1.6616881360000058,1.9116080110000044,2.2055512770000063,2.5435179339999947,2.908633836000005,3.3008989820000028,3.720313372999989,4.166877008000003,4.640589888000007,5.114294953999993,5.587992204999997,6.061681642000005,6.535363264000004,7.009037072000007,7.458827816000007,7.884735495,8.286760110000003,8.664901660000007,9.019160145999994,9.342095829999991,9.633708711999988,9.893998793000003,10.122966071999995,10.320610548999998,10.495988104999988,10.649098739999996,10.779942453999979,10.888519246999994,10.974829118999995,11.073841160999997,11.185555373,11.309971754000014,11.447090305000007,11.596911026000011,11.750825801000008,11.908834630000008,12.070937512000013,12.23713444800001,12.407425438000008,12.57411609000001,12.737206404000013,12.896696379000016,13.052586016000012,13.20487531500002,13.368897888000008,13.544653735,13.732142857000007,13.931365252999994,14.142320923000007,14.335843927000003,14.511934265000004,14.67059193800001,14.811816945000011,14.935609286000007,15.044280701000002,15.137831189999995,15.216260751999988,15.279569387999981,15.327757097999973,15.370921709999996,15.409063222999986,15.442181637999997,15.470276953999985,15.49334917199998,15.514114167999992,15.532571941999995,15.54872249499999,15.562565825999997,15.574101934999995,15.583330821999986,15.59025248699999,15.594866930999984,15.597174152999994,15.597174152999994,15.597174152999994,15.597174152999994,15.597174152999994,15.597174152999994,15.597174152999994,15.597174152999994,15.597174152999994,15.597174152999994,15.597174152999994,15.597174152999994,15.597174152999994,15.597174152999994,15.597174152999994,15.597174152999994,15.597174152999994,15.597174152999994,15.597174152999994,15.597174152999994,15.597174152999994,15.597174152999994,15.597174152999994,15.597174152999994,15.597174152999994,15.597174152999994,15.597174152999994,15.597174152999994,15.597174152999994,15.597174152999994,15.597174152999994,15.597174152999994,15.597174152999994,15.597174152999994,15.597174152999994,15.597174152999994,15.597174152999994,15.597174152999994,15.597174152999994,15.597174152999994,15.597174152999994,15.597174152999994,15.597174152999994,15.597174152999994,15.597174152999994,15.597174152999994,15.597174152999994,15.597174152999994,15.597174152999994,15.597174152999994,15.597174152999994
